Date,Open,High,Low,Close,Adj Close,Volume
06-02-2019,754.25,766.150024,753.799988,762.650024,742.920898,345880
07-02-2019,761.099976,769.5,760.650024,763.349976,743.602783,241922
08-02-2019,764,771.150024,755.099976,759.849976,740.193298,312650
11-02-2019,760,768.650024,757.549988,761.599976,741.898071,275729
12-02-2019,763,763,741,750.400024,730.987793,292287
14-02-2019,753,753,738,739.799988,720.661987,171101
15-02-2019,741.25,746.549988,733,741.75,722.561584,331471
18-02-2019,741,747.5,736.200012,740.099976,720.954224,168645
19-02-2019,738.900024,739.299988,723,725.150024,706.390991,228364
20-02-2019,730,743.450012,727,740.049988,720.905579,288411
21-02-2019,739,739.150024,727.950012,733.349976,714.378845,200596
22-02-2019,733.900024,736.650024,728,733.349976,714.378845,191573
